A00,1A00,equal
A00.0,1A00,narrower
A00.1,1A00,narrower
A00.9,1A00,narrower
A01.0,1A01,equal
A02,1A00-1A9Z,narrower
A03,1A00-1A9Z,narrower
A04,1A00-1A9Z,narrower
A05,1A00-1A9Z,narrower
A06,1A00-1A9Z,narrower
A07,1A00-1A9Z,narrower
A08,1A00-1A9Z,narrower
A09,1A00-1A9Z,narrower
A00-A09,1A00-1A9Z,equal
C00,2B60,equal
C01,2B60,related
C02,2B60,related
C06,2B60,related
C00-C14,2B60-2B6Z,broader
E10,5A10,equal
E10.9,5A10.0,equal
E11,5A11,equal
E11.9,5A11.0,equal
E12,5A11,related
E13,5A11,related
E14,5A11,related
E10-E14,5A00-5AZZ,broader
F32,6A70,broader
F32.0,6A70,narrower
F32.1,6A70,narrower
F32.2,6A70,narrower
F32.3,6A70,narrower
F32.9,6A70,narrower
G40,8A61,broader
G40.0,8A61,narrower
G40.1,8A61,narrower
G40.2,8A62,narrower
G40.9,8A61,narrower
I10,BA00,equal
I11,BA00,related
I12,BA00,related
I13,BA00,related
I15,BA01,equal
I10-I15,BA00-BAZZ,broader
J00,CA00,equal
J01,CA01,equal
J02,CA02,equal
J03,CA00,related
J06,CA00-CA0Z,narrower
J45,CA23,equal
J45.0,CA23,narrower
J45.1,CA23,narrower
J45.8,CA23,narrower
J45.9,CA23,narrower
J06,CA40,related
K35,MD82,equal
K35.2,MD82,narrower
K35.3,MD82,narrower
K35.8,MD82,narrower
M54,ME84,equal
M54.5,ME84.2,equal
N39.0,GC08,equal
N39,GC08,broader
